all_life_forms,Freq,scoring1,scoring2,scoring3
Annual bamboo,15,annual,herbs,herbaceous
Bamboo,3472,perennial,herbs,herbaceous
Biennial,10336,annual,herbs,herbaceous
Biennial or chamaephyte,696,annual,herbs,herbaceous
Biennial or hemicryptophyte,8208,annual,herbs,herbaceous
Biennial or nanophanerophyte,12,annual,herbs,herbaceous
Bulbous geophyte,16958,perennial,herbs,herbaceous
Bulbous geophyte or epiphyte,1,perennial,herbs,herbaceous
Bulbous geophyte or helophyte,137,perennial,herbs,herbaceous
Bulbous hydrogeophyte,1,perennial,herbs,herbaceous
Caudex chamaephyte,54,perennial,herbs,woody
Caudex chamaephyte or nanophanerophyte,11,perennial,herbs,woody
Caudex geophyte,67,perennial,herbs,herbaceous
Caudex nanophanerophyte,57,perennial,herbs,woody
Caudex nanophanerophyte or phanerophyte,18,perennial,herbs,woody
Caudex pachycaul nanophanerophyte,2,perennial,herbs,woody
Caudex phanerophyte,50,perennial,herbs,woody
Chamaephyte,67393,perennial,shrubs,woody
Chamaephyte or climbing nanophanerophyte,113,perennial,shrubs,woody
Chamaephyte or epiphyte,396,perennial,shrubs,woody
Chamaephyte or helophyte,893,perennial,shrubs,woody
Chamaephyte or hemicryptophyte,1404,perennial,shrubs,woody
Chamaephyte or lithophyte,80,perennial,shrubs,woody
Chamaephyte or nanophanerophyte,33599,perennial,shrubs,woody
Chamaephyte or phanerophyte,261,perennial,shrubs,woody
Chamaephyte or rhizomatous chamaephyte,7,perennial,shrubs,woody
Chamaephyte or rhizomatous geophyte,28,perennial,shrubs,woody
Chamaephyte or tuberous geophyte,112,perennial,shrubs,woody
"Chamaephyte, nanophanerophyte or phanerophyte",395,perennial,shrubs,woody
Climber,26307,perennial,climbers,
Climbing bamboo,26,perennial,climbers,
Climbing bulbous geophyte,25,perennial,climbers,
Climbing caudex geophyte,654,perennial,climbers,
Climbing caudex phanerophyte,1,perennial,climbers,
Climbing chamaephyte,3026,perennial,climbers,
Climbing chamaephyte or climbing nanophanerophyte,392,perennial,climbers,
Climbing chamaephyte or epiphyte,58,perennial,climbers,
Climbing chamaephyte or nanophanerophyte,381,perennial,climbers,
Climbing chamaephyte or phanerophyte,31,perennial,climbers,
Climbing epiphyte,460,perennial,climbers,
Climbing epiphyte or lithophyte,236,perennial,climbers,
Climbing helophyte,96,perennial,climbers,
Climbing hemicryptophyte,6266,perennial,climbers,
Climbing hemicryptophyte or chamaephyte,725,perennial,climbers,
Climbing hemicryptophyte or climbing chamaerophyte,26,perennial,climbers,
Climbing hemicryptophyte or herbaceous phanerophyt,75,perennial,climbers,
Climbing hemicryptophyte or nanophanerophyte,686,perennial,climbers,
Climbing hemiparasite,4,perennial,climbers,
Climbing herbaceous phanerophyte,1038,perennial,climbers,
Climbing herbaceous phanerophyte or liana,339,perennial,climbers,
Climbing holomycotroph,35,perennial,climbers,
Climbing holoparasite,165,perennial,climbers,
Climbing lithophyte,3,perennial,climbers,
Climbing nanophanerophyte,10709,perennial,climbers,
Climbing nanophanerophyte or liana,2748,perennial,climbers,
Climbing nanophanerophyte or phanerophyte,1090,perennial,climbers,
Climbing rhizomatous geophyte,264,perennial,climbers,
Climbing succulent,406,perennial,climbers,
Climbing therophyte,4128,annual,climbers,
Climbing therophyte or biennial,426,annual,climbers,
Climbing therophyte or hemicryptophyte,1930,annual,climbers,
Climbing tuberous geophyte,5223,perennial,climbers,
"Climbing, sometimes tuberous nanophanerophyte",15,perennial,climbers,
Epiphyte,38794,perennial,epiphytes,
Epiphyte or chamaephyte,38,perennial,epiphytes,
Epiphyte or hemicryptophyte,268,perennial,epiphytes,
Epiphyte or lithophyte,2606,perennial,epiphytes,
Epiphytic caudex chamaephyte,114,perennial,epiphytes,
Epiphytic chamaephyte,8193,perennial,epiphytes,
Epiphytic chamaephyte or nanophanerophyte,99,perennial,epiphytes,
Epiphytic climbing chamaephyte,7,perennial,epiphytes,
Epiphytic climbing nanophanerophyte,2,perennial,epiphytes,
Epiphytic hemicryptophyte  or chamaephyte,175,perennial,epiphytes,
Epiphytic hydrophyte,1,perennial,epiphytes,
Epiphytic liana,2,perennial,epiphytes,
Epiphytic nanophanerophyte,752,perennial,epiphytes,
Epiphytic nanophanerophyte or phanerophyte,63,perennial,epiphytes,
Epiphytic or lithophytic chamaerophyte,234,perennial,epiphytes,
Epiphytic or lithophytic nanophanerophyte,47,perennial,epiphytes,
Epiphytic or lithophytic tuberous geophyte,3,perennial,epiphytes,
Epiphytic rhizomatous chamaephyte,397,perennial,epiphytes,
Epiphytic rhizomatous geophyte,19,perennial,epiphytes,
Epiphytic scrambling chamaephyte,41,perennial,epiphytes,
Epiphytic therophyte or chamaephyte,22,annual,epiphytes,
Epiphytic tuberous chamaephyte,3,perennial,epiphytes,
Epiphytic tuberous chamerophyte,56,perennial,epiphytes,
Epiphytic tuberous geophyte,13,perennial,epiphytes,
Geophyte,191,perennial,herbs,
Helophyte,6637,perennial,herbs,
Helophyte or chamaephyte,72,perennial,herbs,
Helophyte or epiphyte,3,perennial,herbs,
Helophyte or hemicryptophyte,789,perennial,herbs,
Helophyte or hydrochamaephyte,35,perennial,herbs,
Helophyte or hydrohemicryptophyte,28,perennial,herbs,
Helophyte or lithophyte,26,perennial,herbs,
Helophyte or phanerophyte,13,perennial,herbs,
Helophyte or rhizomatous hydrogeophyte,919,perennial,herbs,
Helophyte or therophyte,114,annual,herbs,
Helophyte or tuberous chamaephyte,3,perennial,herbs,
Helophyte or tuberous geophyte,250,perennial,herbs,
Hemicryptophyte,275882,perennial,herbs,
Hemicryptophyte or bulbous geophyte,316,perennial,herbs,
Hemicryptophyte or chamaephyte,18617,perennial,herbs,
Hemicryptophyte or climbing hemicryptophyte,18,perennial,herbs,
Hemicryptophyte or epiphyte,1314,perennial,herbs,
Hemicryptophyte or geophyte,9,perennial,herbs,
Hemicryptophyte or helophyte,4161,perennial,herbs,
Hemicryptophyte or lithophyte,2798,perennial,herbs,
Hemicryptophyte or monocarpic hemicryptophyte,1,perennial,herbs,
Hemicryptophyte or nanophanerophyte,2030,perennial,herbs,
Hemicryptophyte or phanerophyte,80,perennial,herbs,
Hemicryptophyte or pseudobulb chamaephyte,16,perennial,herbs,
Hemicryptophyte or rhizomatous geophyte,69759,perennial,herbs,
Hemicryptophyte or therophyte,3996,annual,herbs,
Hemicryptophyte or tuberous geophyte,5155,perennial,herbs,
"Hemicryptophyte, chamaephyte or nanophanerophyte",844,perennial,herbs,
"Hemicryptophyte, lithophyte or epiphyte",915,perennial,herbs,
Hemiepiphyte,12,perennial,climbers,
Hemiepiphytic chamaephyte,342,perennial,climbers,
Hemiepiphytic chamaephyte or nanophanerophyte,64,perennial,climbers,
Hemiepiphytic hemicryptophyte,33,perennial,climbers,
Hemiepiphytic liana,4,perennial,climbers,
Hemiepiphytic nanophanerophyte,358,perennial,climbers,
Hemiepiphytic nanophanerophyte or phanerophyte,126,perennial,climbers,
Hemiepiphytic phanerophyte,105,perennial,climbers,
Hemillithophytic  chamaephyte,9,perennial,other,
Hemillithophytic nanophanerophyte,2,perennial,other,
Hemimycotrophic rhizomatous geophyte,23,perennial,other,
Hemimycotrophic therophyte,24,annual,other,
Hemimycotrophic tuberous geophyte,8,perennial,other,
Hemiparasite,90,perennial,other,
Hemiparasitic biennial,123,perennial,other,
Hemiparasitic biennial or hemicryptophyte,50,perennial,other,
Hemiparasitic chamaephyte,99,perennial,other,
Hemiparasitic chamaephyte or nanophanerophyte,58,perennial,other,
Hemiparasitic climber,13,perennial,other,
Hemiparasitic epiphyte,3136,perennial,other,
Hemiparasitic hemicryptophyte,506,perennial,other,
Hemiparasitic hemicryptophyte or rhizome geophyte,26,perennial,other,
Herbaceus phanerophyte,562,perennial,herbs,herbaceous
Herbacious bamboo,394,perennial,herbs,herbaceous
Herbacious nanophanerophyte,208,perennial,herbs,herbaceous
Herbacious phanerophyte,2,perennial,herbs,herbaceous
Herbacious therophyte,2914,annual,herbs,herbaceous
Herbacious therophyte or biennial,17,annual,herbs,herbaceous
Herbacious therophyte or hemicryptophyte,95,annual,herbs,herbaceous
Holomycotroph,332,perennial,other,
Holomycotrophic chamaephyte,9,perennial,other,
Holomycotrophic geophyte,15,perennial,other,
Holomycotrophic hemicryptophyte,356,perennial,other,
Holomycotrophic rhizomatous geophyte,1975,perennial,other,
Holomycotrophic therophyte,84,annual,other,
Holomycotrophic tuberous geophyte,124,perennial,other,
Holoparasite,2278,perennial,other,
Holoparasitic chamaerophyte,135,perennial,other,
Holoparasitic epiphyte,7,perennial,other,
Holoparasitic geophyte,111,perennial,other,
Holoparasitic hemicryptophyte,765,perennial,other,
Holoparasitic therophyte,3303,annual,other,
Holoparasitic therophyte or hemicryptophyte,166,annual,other,
Holoparasitic tuberous geophyte,13,perennial,other,
Hydrochamaephyte,8290,perennial,shrubs,
Hydrochamaephyte or chamaephyte,89,perennial,shrubs,
Hydrochamaephyte or helophyte,130,perennial,shrubs,
Hydrohemicryptophyte,2107,perennial,shrubs,
Hydrohemicryptophyte or tuberous geophyte,23,perennial,shrubs,
Hydronanophanerophyte,3,perennial,shrubs,
Hydrotherophyte,4275,annual,herbs,
Hydrotherophyte or helophyte,104,annual,herbs,
Hydrotherophyte or hydrochamaephyte,961,annual,herbs,
Hydrotherophyte or hydrohemicryptophyte,215,annual,herbs,
Hydrotherophyte or tuberous geophyte,166,annual,herbs,
Liana,19579,perennial,climbers,
Liana or chamaephyte,65,perennial,climbers,
Liana or nanophanerophyte,337,perennial,climbers,
Liana or phanerophyte,156,perennial,climbers,
Liana or rhizomatous geophyte,2,perennial,climbers,
Lithophyte,1930,perennial,other,
Lithophyte or chamaephyte,3,perennial,other,
Lithophyte or epiphyte,553,perennial,other,
Lithophyte or helophyte,2,perennial,other,
Lithophyte or hemicryptophyte,41,perennial,other,
Lithophyte or therophyte,36,annual,other,
Lithophytic chamaephyte,56,perennial,other,
Lithophytic pseudobulb geophyte,5,perennial,other,
Lithophytic therophyte,26,annual,other,
Lithophytic tuberous geophyte,16,perennial,other,
Monocarpic hemicryptophyte,398,perennial,other,
Monocarpic hemicryptophyte or chamaephyte,7,perennial,other,
Monocarpic hemicryptophyte or epiphyte,2,perennial,other,
Monocarpic hemicryptophyte or lithophyte,21,perennial,other,
Monocarpic lithophyte,5,perennial,other,
Monocarpic nanophanerophyte,1,perennial,other,
Monocarpic nanophanerophyte or phanerophyte,14,perennial,other,
Monocarpic phanerophyte,3,perennial,other,
Nanophan. or liana,174,perennial,other,
Nanophanerophyte,71283,perennial,shrubs,
Nanophanerophyte or cl. phanerophyte,143,perennial,shrubs,
Nanophanerophyte or phanerophyte,87935,perennial,shrubs_or_trees,
Pachycaul phanerophyte,1,perennial,other,
pachycaulous phanerophyte,2,perennial,other,
Parasitic,23,perennial,other,
Phanerophyte,142068,perennial,trees,
Pseudobulbous chamaephyte,4,perennial,other,
Pseudobulbous epiphyte,18998,perennial,other,
Pseudobulbous epiphyte or geophyte,205,perennial,other,
Pseudobulbous epiphyte or hemicryptophyte,4,perennial,other,
Pseudobulbous epiphyte or lithophyte,1718,perennial,other,
Pseudobulbous geophyte,4329,perennial,other,
Pseudobulbous geophyte or epiphyte,610,perennial,other,
Pseudobulbous geophyte or lithophyte,132,perennial,other,
Pseudobulbous lithophyte,210,perennial,other,
Pseudobulbous lithophyte or epiphyte,71,perennial,other,
Rhizomatous chamaephyte,126,perennial,other,
Rhizomatous epiphyte,118,perennial,other,
Rhizomatous epiphyte or lithophyte,9,perennial,other,
Rhizomatous geophyte,23100,perennial,other,
Rhizomatous geophyte or chamaephyte,45,perennial,other,
Rhizomatous geophyte or epiphyte,306,perennial,other,
Rhizomatous geophyte or helophyte,638,perennial,other,
Rhizomatous geophyte or lithophyte,417,perennial,other,
Rhizomatous hemicryptophyte,127,perennial,other,
Rhizomatous hydrogeophyte,2574,perennial,other,
Rhizomatous hydrogeophyte or helophyte,40,perennial,other,
Rhizomatous lithophyte,232,perennial,other,
Rhizomatous nanophanerophyte,1,perennial,other,
Rhizomatous or tuberous geophyte,16,perennial,other,
Scrambling bamboo,7,perennial,climbers,
Scrambling caudex geophyte,47,perennial,climbers,
Scrambling caudex nanophanerophyte,1,perennial,climbers,
Scrambling chamaephyte,1912,perennial,climbers,
Scrambling chamaephyte or climbing nanophanerophyt,19,perennial,climbers,
Scrambling chamaephyte or liana,14,perennial,climbers,
Scrambling chamaephyte or lithophyte,2,perennial,climbers,
Scrambling chamaephyte or nanophanerophyte,1466,perennial,climbers,
Scrambling chamaephyte or phanerophyte,22,perennial,climbers,
Scrambling chamaephyte or tuberous geophyte,202,perennial,climbers,
Scrambling epiphyte,104,perennial,climbers,
Scrambling geophyte,13,perennial,climbers,
Scrambling hemicryptophyte,2059,perennial,climbers,
Scrambling hemicryptophyte or chamaephyte,1497,perennial,climbers,
Scrambling hemicryptophyte or epiphyte,3,perennial,climbers,
Scrambling hemicryptophyte or therophyte,27,perennial,climbers,
Scrambling hemicryptophyte or tuberous geophyte,14,perennial,climbers,
Scrambling herbaceous phanerophyte,6,perennial,climbers,
Scrambling nanophanerophyte,9733,perennial,climbers,
Scrambling nanophanerophyte or liana,1388,perennial,climbers,
Scrambling nanophanerophyte or phanerophyte,5461,perennial,climbers,
Scrambling phanerophyte,1076,perennial,climbers,
Scrambling rhizomatous geophyte,117,perennial,climbers,
Scrambling semisucculent chamaephyte or nanophaner,4,perennial,climbers,
Scrambling succulent,5,perennial,climbers,
Scrambling succulent chamaephyte,2,perennial,climbers,
Scrambling succulent chamaephyte or nanophanerophy,69,perennial,climbers,
Scrambling succulent nanophanerophyte,38,perennial,climbers,
Scrambling succulent tuberous nanophanerophyte,24,perennial,climbers,
Scrambling therophyte,1956,annual,climbers,
Scrambling therophyte or chamaephyte,908,annual,climbers,
Scrambling therophyte or hemicryptophyte,2317,annual,climbers,
Scrambling tuberous geophyte,483,perennial,climbers,
Semiaquatic chamaephyte,337,perennial,other,
Semiaquatic therophyte,316,annual,other,
Semisucculent chamaephyte,224,perennial,other,
Semisucculent chamaephyte or epiphyte,12,perennial,other,
Semisucculent chamaephyte or nanophanerophyte,278,perennial,other,
Semisucculent climber,37,perennial,other,
Semisucculent epiphyte,8,perennial,other,
Semisucculent hemicryptophyte,385,perennial,other,
Semisucculent liana,8,perennial,other,
Semisucculent nanophanerophyte,122,perennial,other,
Semisucculent nanophanerophyte or phanerophyte,128,perennial,other,
Semisucculent phanerophyte,29,perennial,other,
Semisucculent rhizomatous geophyte,1,perennial,other,
Semisucculent therophyte,799,annual,other,
Semisucculent therophyte or biennial,2,annual,other,
Semisucculent therophyte or chamaephyte,37,annual,other,
Semisucculent tuberous chamaephyte,6,perennial,other,
Semisucculent tuberous nanophanerophyte,1,perennial,other,
Sometimes tuberous chamaephyte,79,perennial,other,
Sometimes tuberous chamaephyte or nanophanerophyte,5,perennial,other,
Sometimes tuberous hemicryptophyte,25,perennial,other,
Sometimes tuberous nanophanerophyte,1,perennial,other,
Succulent,13,perennial,other,
Succulent biennial,66,annual,other,
Succulent biennial or chamaephyte,39,annual,other,
Succulent bulbous geophyte,10,perennial,other,
Succulent chamaephyte,10123,perennial,other,
Succulent chamaephyte or epiphyte,80,perennial,other,
Succulent chamaephyte or lithophyte,23,perennial,other,
Succulent chamaephyte or nanophanerophyte,839,perennial,other,
Succulent chamaephyte or phanerophyte,8,perennial,other,
Succulent epiphyte,470,perennial,other,
Succulent epiphyte or lithophyte,177,perennial,other,
Succulent epiphytic chamaerophyte,21,perennial,other,
Succulent hemicryptophyte,2796,perennial,other,
Succulent hemicryptophyte or bulbous geophyte,12,perennial,other,
Succulent hemicryptophyte or chamaerophyte,280,perennial,other,
Succulent hemicryptophyte or epiphyte,9,perennial,other,
Succulent lithophyte,1,perennial,other,
Succulent lithophyte or epiphyte,1,perennial,other,
Succulent nanophanerophyte,951,perennial,other,
Succulent nanophanerophyte or phanerophyte,735,perennial,other,
Succulent phanerophyte,534,perennial,other,
Succulent rhizomatous geophyte,3,perennial,other,
Succulent therophyte,470,annual,other,
Succulent therophyte or biennial,26,annual,other,
Succulent therophyte or chamaephyte,555,annual,other,
Succulent tuberous chamaephyte,143,perennial,other,
Succulent tuberous chamaephyte or nanophanerophyte,8,perennial,other,
Succulent tuberous geophyte,207,perennial,other,
Succulent tuberous nanophanerophyte,1,perennial,other,
"Succulent, somewhat tuberous chamaephyte",8,perennial,other,
Therophyte,150195,annual,herbs,
Therophyte or biennial,23569,annual,herbs,
Therophyte or chamaephyte,16903,annual,herbs,
Therophyte or helophyte,2110,annual,herbs,
Therophyte or hemicryptophyte,30110,annual,herbs,
Therophyte or lithophyte,199,annual,herbs,
Therophyte or nanophanerophyte,1130,annual,herbs,
Therophyte or rhizomatous geophyte,50,annual,herbs,
Therophyte or tuberous geophyte,127,annual,herbs,
"Therophyte, biennial or hemicryptophyte",471,annual,herbs,
"Therophyte, chamaephyte or nanophanerophyte",468,annual,herbs,
"Therophyte, hemicryptophyte or chamaephyte",4526,annual,herbs,
Tuberous chamaephyte,389,perennial,other,
Tuberous chamaephyte or nanophanerophyte,99,perennial,other,
Tuberous epiphyte,42,perennial,other,
Tuberous epiphyte or lithophyte,2,perennial,other,
Tuberous geophyte,33644,perennial,other,
Tuberous geophyte or chamaephyte,159,perennial,other,
Tuberous geophyte or epiphyte,33,perennial,other,
Tuberous geophyte or helophyte,40,perennial,other,
Tuberous geophyte or hemicryptophyte,138,perennial,other,
Tuberous geophyte or lithophyte,65,perennial,other,
Tuberous geophyte or therophyte,2,annual,other,
Tuberous helophyte,3,perennial,other,
Tuberous hemicryptophyte,159,perennial,other,
Tuberous hemicryptophyte or chamaephyte,11,perennial,other,
Tuberous hydrogeophyte,613,perennial,other,
Tuberous lithophyte,14,perennial,other,
Tuberous lithophyte or epiphyte,29,perennial,other,
Tuberous nanophanerophyte,114,perennial,other,
Tuberous nanophanerophyte or phanerophyte,157,perennial,other,
Tuberous or rhizomatous geophyte,104,perennial,other,
Tuberous phanerophyte,27,perennial,other,