"species","n_temp","mean_temp","se_temp","within_sp_var_temp","life_form"
"Acanthorrhinum ramosissimum (Coss. & Durieu) Rothm.",2,5.64362,0.010797,2.7e-05,"perennial"
"Albraunia foveopilosa Speta",NA,NA,NA,NA,"annual"
"Anarrhinum bellidifolium Fenzl ex Jaub. & Spach",NA,NA,NA,NA,"annual"
"Anarrhinum corsicum Jord. & Fourr.",1,5.62492,NA,5.4e-05,"perennial"
"Anarrhinum duriminium (Brot.) Pers.",8,5.635346,0.002633,7e-06,"annual"
"Anarrhinum forskaohlii (J.F.Gmel.) Cufod.",NA,NA,NA,NA,"perennial"
"Anarrhinum fruticosum Hochst. ex Engl.",NA,NA,NA,NA,"perennial"
"Anarrhinum laxiflorum Boiss.",16,5.641692,0.001455,3e-06,"annual"
"Anarrhinum longipedicellatum R.Fern.",4,5.638443,0.00084,1.4e-05,"annual"
"Anarrhinum pedatum Desf.",11,5.637958,0.002199,5e-06,"annual"
"Antirrhinum australe Rothm.",15,5.644472,0.0017,4e-06,"perennial"
"Antirrhinum charidemi Lange",3,5.640619,0.006772,1.8e-05,"perennial"
"Antirrhinum cirrhigerum Welw. ex Ficalho",NA,NA,NA,NA,"perennial"
"Antirrhinum controversum Pau",10,5.64075,0.00221,5e-06,"perennial"
"Antirrhinum graniticum Rothm.",30,5.643129,0.000652,2e-06,"perennial"
"Antirrhinum grosii Font Quer",2,5.643855,0.000354,2.7e-05,"perennial"
"Antirrhinum hispanicum Chav.",13,5.644969,0.000578,4e-06,"perennial"
"Antirrhinum L._indet_sp2",NA,NA,NA,NA,"no_life_form_on_database"
"Antirrhinum latifolium Mill.",24,5.634174,0.001328,2e-06,"perennial"
"Antirrhinum linkianum Boiss. & Reut.",4,5.631649,0.002664,1.4e-05,"no_life_form_on_database"
"Antirrhinum litigiosum Pau",27,5.641703,0.001014,2e-06,"no_life_form_on_database"
"Antirrhinum lopesianum Rothm.",2,5.643147,0.000354,2.7e-05,"no_life_form_on_database"
"Antirrhinum majus L.",69,5.637112,0.000898,1e-06,"perennial"
"Antirrhinum meonanthum Hoffmanns. & Link",22,5.640994,0.000985,2e-06,"perennial"
"Antirrhinum microphyllum Rothm.",1,5.644563,NA,5.4e-05,"perennial"
"Antirrhinum molle L.",9,5.642548,0.001459,6e-06,"perennial"
"Antirrhinum mollissimum (Pau) Rothm.",4,5.643851,0.001806,1.4e-05,"no_life_form_on_database"
"Antirrhinum onubense (Fern.Casas) Fern.Casas",3,5.640529,0.004212,1.8e-05,"no_life_form_on_database"
"Antirrhinum pertegasii Rothm.",3,5.639002,0.002136,1.8e-05,"perennial"
"Antirrhinum pulverulentum Lázaro Ibiza",6,5.644916,0.000524,9e-06,"perennial"
"Antirrhinum rothmaleri (P.Silva) Amich",NA,NA,NA,NA,"perennial"
"Antirrhinum sempervirens Lapeyr.",9,5.640304,0.001215,6e-06,"perennial"
"Antirrhinum siculum Mill.",16,5.628845,0.002758,3e-06,"perennial"
"Antirrhinum subbaeticum Güemes, Mateu & Sánchez-Gómez",4,5.648178,0.001496,1.4e-05,"no_life_form_on_database"
"Antirrhinum tortuosum Bosc ex Vent.",11,5.637342,0.002266,5e-06,"perennial"
"Antirrhinum valentinum Font Quer",5,5.633444,0.003395,1.1e-05,"perennial"
"Asarina procumbens Mill.",7,5.636891,0.002111,8e-06,"perennial"
"Chaenorhinum (DC.) Rchb.",70,5.640333,0.000971,1e-06,"no_life_form_on_database"
"Chaenorhinum calycinum (Banks & Sol.) P.H.Davis",1,5.649854,NA,5.4e-05,"annual"
"Chaenorhinum crassifolium (Cav.) Kostel.",14,5.639362,0.002288,4e-06,"no_life_form_on_database"
"Chaenorhinum cryptarum (Boiss. & Hausskn.) Davis",1,5.652314,NA,5.4e-05,"annual"
"Chaenorhinum exile (Coss. & Kralik) Lange",13,5.640738,0.001257,4e-06,"no_life_form_on_database"
"Chaenorhinum flexuosum (Desf.) Lange",9,5.642071,0.003643,6e-06,"perennial"
"Chaenorhinum formenterae Gand.",1,5.614769,NA,5.4e-05,"no_life_form_on_database"
"Chaenorhinum glareosum (Boiss.) Willk.",2,5.64029,0.006393,2.7e-05,"perennial"
"Chaenorhinum grandiflorum (Coss.) Willk.",5,5.640793,0.002641,1.1e-05,"annual"
"Chaenorhinum johnstonii (Stapf) Pennell",4,5.653452,0.001158,1.4e-05,"annual"
"Chaenorhinum litorale (Bernh. ex Willd.) Fritsch",2,5.632437,0.007517,2.7e-05,"annual"
"Chaenorhinum litorale subsp. pterosporum (Fisch. & C.A.Mey.) Davis",NA,NA,NA,NA,"annual"
"Chaenorhinum macropodum (Boiss. & Reut.) Lange",7,5.644851,0.002248,8e-06,"perennial"
"Chaenorhinum minus (L.) Lange",313,5.633401,0.000377,0,"annual"
"Chaenorhinum origanifolium (L.) Kostel.",42,5.637378,0.001162,1e-06,"perennial"
"Chaenorhinum raveyi (Boiss.) Pau",3,5.642909,0.001481,1.8e-05,"annual"
"Chaenorhinum reyesii (C.Vicioso & Pau) Benedí",15,5.645174,0.000473,4e-06,"no_life_form_on_database"
"Chaenorhinum robustum Loscos",17,5.6445,0.000384,3e-06,"annual"
"Chaenorhinum rubrifolium (Robill. & Castagne ex DC.) Lange, 1870",NA,NA,NA,NA,"annual"
"Chaenorhinum segoviense Willk.",NA,NA,NA,NA,"no_life_form_on_database"
"Chaenorhinum serpyllifolium Pau",NA,NA,NA,NA,"annual"
"Chaenorhinum spicatum Korovin ex Popov",NA,NA,NA,NA,"no_life_form_on_database"
"Chaenorhinum tenellum (Cav.) Lange",1,5.640665,NA,5.4e-05,"perennial"
"Chaenorhinum tuberculatum Speta",1,5.652665,NA,5.4e-05,"annual"
"Chaenorhinum villosum (L.) Lange",20,5.644444,0.001153,3e-06,"perennial"
"Cymbalaria aequitriloba (Viv.) A.Chev.",7,5.623814,0.002783,8e-06,"perennial"
"Cymbalaria fragilis (Rodr.) A.Chev.",1,5.614769,NA,5.4e-05,"perennial"
"Cymbalaria glutinosa Bigazzi & Raffaelli",2,5.630486,0.004125,2.7e-05,"perennial"
"Cymbalaria glutinosa subsp. brevicalcarata Bigazzi & Raffaelli",1,5.632465,NA,5.4e-05,"perennial"
"Cymbalaria hepaticifolia (Poir.) Wettst.",4,5.620394,0.002107,1.4e-05,"perennial"
"Cymbalaria longipes (Boiss. & Heldr.) A.Chev.",10,5.62242,0.003122,5e-06,"perennial"
"Cymbalaria microcalyx (Boiss.) Wettst.",12,5.6249,0.003006,5e-06,"perennial"
"Cymbalaria microcalyx subsp. acutiloba (Boiss. & Heldr.) Greuter",1,5.647036,NA,5.4e-05,"no_life_form_on_database"
"Cymbalaria microcalyx subsp. ebelii (Cufod.) Cufod.",NA,NA,NA,NA,"no_life_form_on_database"
"Cymbalaria microcalyx subsp. minor (Cufod.) Greuter",1,5.635325,NA,5.4e-05,"no_life_form_on_database"
"Cymbalaria muelleri (Moris) A.Chev.",1,5.628879,NA,5.4e-05,"perennial"
"Cymbalaria muralis f. visianii Kümmerle",NA,NA,NA,NA,"no_life_form_on_database"
"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",38,5.631221,0.001603,1e-06,"perennial"
"Cymbalaria pallida (Ten.) Wettst.",1,5.635325,NA,5.4e-05,"perennial"
"Cymbalaria pubescens (J. & C.Presl) Cufod.",4,5.622014,0.003274,1.4e-05,"perennial"
"Epixiphium wislizenii (Engelm. ex A.Gray) Munz",13,5.653014,5e-04,4e-06,"perennial"
"Gadoria falukei Güemes & Mota",1,5.637465,NA,5.4e-05,"no_life_form_on_database"
"Galvezia ballii Munz",NA,NA,NA,NA,"no_life_form_on_database"
"Galvezia elisensii M.O.Dillon & Quip.",1,5.62852,NA,5.4e-05,"no_life_form_on_database"
"Galvezia fruticosa J.F.Gmel.",9,5.630263,0.00176,6e-06,"perennial"
"Galvezia lanceolata Pennell",1,5.635682,NA,5.4e-05,"perennial"
"Galvezia leucantha subsp. porphyrantha Tye & H.Jäger",1,5.612215,NA,5.4e-05,"no_life_form_on_database"
"Galvezia leucantha subsp. pubescens Wiggins",NA,NA,NA,NA,"no_life_form_on_database"
"Galvezia leucantha Wiggins",NA,NA,NA,NA,"no_life_form_on_database"
"Gambelia juncea (Benth.) D.A.Sutton",22,5.63853,0.001819,2e-06,"perennial"
"Gambelia speciosa Nutt.",7,5.634296,0.006095,8e-06,"perennial"
"Holmgrenanthe petrophila (Coville & C.V.Morton) Elisens",1,5.651963,NA,5.4e-05,"perennial"
"Howelliella ovata (Eastw.) Rothm.",1,5.654417,NA,5.4e-05,"annual"
"Kickxia aegyptiaca (L.) Nábelek",12,5.64686,0.003258,5e-06,"perennial"
"Kickxia aegyptiaca subsp. fruticosa (Desf.) Podlech",NA,NA,NA,NA,"no_life_form_on_database"
"Kickxia caucasica (Muss.-Puschk. ex Spreng.) Kuprian.",NA,NA,NA,NA,"annual"
"Kickxia cirrhosa (L.) Fritsch",37,5.632028,0.001667,1e-06,"annual"
"Kickxia commutata (Bernh. ex Rchb.) Fritsch",46,5.629865,0.001532,1e-06,"perennial"
"Kickxia elatine (L.) Dumort.",133,5.635178,0.00063,0,"annual"
"Kickxia elatine subsp. crinita (Mabille) Greuter",55,5.628338,0.001462,1e-06,"no_life_form_on_database"
"Kickxia floribunda (Boiss.) Täckh. & Boulos",2,5.65634,0.001923,2.7e-05,"perennial"
"Kickxia lanigera Hand.-Mazz.",NA,NA,NA,NA,"annual"
"Kickxia scariosa (Vent.) Rothm.",NA,NA,NA,NA,"no_life_form_on_database"
"Kickxia sieberi Dörfl.",2,5.615679,0.000546,2.7e-05,"no_life_form_on_database"
"Kickxia spuria (L.) Dumort.",110,5.635344,0.000745,0,"annual"
"Kickxia spuria subsp. integrifolia (Brot.) R.Fern.",65,5.637455,0.001081,1e-06,"annual"
"Limaria orientalis Kilburn, 1998",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria accitensis L.Sáez, Juan, M.B.Crespo, F.B.Navarro, J.Peñas & Roquet",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria aeruginea Loscos & J.Pardo",4,5.643855,0.000144,1.4e-05,"annual"
"Linaria albifrons (Sm.) Spreng.",4,5.650713,0.003674,1.4e-05,"annual"
"Linaria algarviana Chav.",1,5.618406,NA,5.4e-05,"annual"
"Linaria almijarensis Campo & Amo",1,5.647036,NA,5.4e-05,"no_life_form_on_database"
"Linaria alpina (L.) Mill.",59,5.639346,0.000471,1e-06,"annual"
"Linaria altaica Fisch. ex Ledeb.",14,5.644206,0.000686,4e-06,"no_life_form_on_database"
"Linaria amethystea (Vent.) Hoffmanns. & Link",44,5.642036,0.000877,1e-06,"no_life_form_on_database"
"Linaria amethystea f. broussonetii (Poir.) Valdés",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria amoi Campo ex Amo",2,5.643501,0.001416,2.7e-05,"perennial"
"Linaria angustissima (Loisel.) Borbás",33,5.637913,0.000986,2e-06,"perennial"
"Linaria anticaria Boiss. & Reut.",8,5.644958,0.000901,7e-06,"no_life_form_on_database"
"Linaria antilibanotica Rech.fil.",NA,NA,NA,NA,"perennial"
"Linaria arenaria Jahand. & Maire",NA,NA,NA,NA,"annual"
"Linaria armeniaca Chav.",3,5.645034,0.000514,1.8e-05,"annual"
"Linaria arvensis (L.) Desf.",82,5.637138,0.000812,1e-06,"annual"
"Linaria atlantica Boiss. & Reut.",4,5.632358,0.003444,1.4e-05,"no_life_form_on_database"
"Linaria atrofusca Rouy",1,5.644209,NA,5.4e-05,"no_life_form_on_database"
"Linaria azerbaijanensis Hamdi & Assadi",NA,NA,NA,NA,"perennial"
"Linaria badalii Willk.",21,5.642082,0.000488,3e-06,"annual"
"Linaria baligaliensis Patzak",1,5.648798,NA,5.4e-05,"no_life_form_on_database"
"Linaria bamianica Patzak",5,5.65231,0.001433,1.1e-05,"perennial"
"Linaria becerrae Blanca, Cueto & J.Fuentes",1,5.645624,NA,5.4e-05,"no_life_form_on_database"
"Linaria benitoi Fern.Casas",3,5.633394,0.005106,1.8e-05,"no_life_form_on_database"
"Linaria bipartita (Vent.) Willd.",39,5.634067,0.00106,1e-06,"annual"
"Linaria bipunctata Nyman",NA,NA,NA,NA,"annual"
"Linaria bordiana Santa & Simonn.",7,5.636356,0.003644,8e-06,"annual"
"Linaria bordiana subsp. kralikiana (Maire) D.A.Sutton",3,5.630789,0.002174,1.8e-05,"no_life_form_on_database"
"Linaria boushehrensis Hamdi & Assadi",NA,NA,NA,NA,"annual"
"Linaria brachyceras (Bunge) Kuprian.",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria bubanii Font Quer",2,5.641552,0.000887,2.7e-05,"annual"
"Linaria caesia (Pers.) DC.",1,5.643502,NA,5.4e-05,"annual"
"Linaria canadensis (L.) Chaz.",106,5.639149,0.000638,1e-06,"no_life_form_on_database"
"Linaria capraria Moris & De Not.",1,5.619857,NA,5.4e-05,"perennial"
"Linaria cavanillesii Chav.",5,5.638159,0.002969,1.1e-05,"perennial"
"Linaria chalepensis (L.) Mill.",48,5.630617,0.001836,1e-06,"annual"
"Linaria clementei Haens. ex Boiss.",3,5.637922,0.004207,1.8e-05,"perennial"
"Linaria confertiflora Benth.",NA,NA,NA,NA,"perennial"
"Linaria corifolia Desf.",9,5.642267,0.001887,6e-06,"perennial"
"Linaria cretacea Fisch. ex Spreng.",15,5.639646,0.000373,4e-06,"perennial"
"Linaria creticola Kuprian.",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria dalmatica (L.) Mill.",23,5.638211,0.001047,2e-06,"perennial"
"Linaria damascena Boiss. & Gaill.",1,5.653366,NA,5.4e-05,"no_life_form_on_database"
"Linaria decipiens Batt.",1,5.635682,NA,5.4e-05,"no_life_form_on_database"
"Linaria depauperata Leresche ex Lange",6,5.640055,0.002689,9e-06,"annual"
"Linaria depauperata subsp. ilergabona (M.B.Crespo & Arán) L.Sáez",1,5.632465,NA,5.4e-05,"no_life_form_on_database"
"Linaria depauperata var. hegelmaieri (Lange) Nyman",1,5.629239,NA,5.4e-05,"no_life_form_on_database"
"Linaria diffusa Hoffmanns. & Link",5,5.639515,0.002575,1.1e-05,"annual"
"Linaria elegans Munby",1,5.628879,NA,5.4e-05,"annual"
"Linaria elymaitica (Boiss.) Kuprian.",4,5.645145,0.004945,1.4e-05,"perennial"
"Linaria farsensis Hamdi & Assadi",NA,NA,NA,NA,"perennial"
"Linaria fastigiata Chav.",2,5.653892,0.000525,2.7e-05,"perennial"
"Linaria faucicola Leresche & Levier",3,5.640421,0.002709,1.8e-05,"annual"
"Linaria ficalhoana Rouy",1,5.631033,NA,5.4e-05,"annual"
"Linaria filicaulis Boiss. ex Leresche & Levier",3,5.636984,0.002457,1.8e-05,"no_life_form_on_database"
"Linaria flava (Poir.) Desf.",1,5.639599,NA,5.4e-05,"annual"
"Linaria galioides Ball",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria gattefossei Maire & Weiller",1,5.651963,NA,5.4e-05,"no_life_form_on_database"
"Linaria genistifolia Benth.",NA,NA,NA,NA,"perennial"
"Linaria gharbensis Batt. & Pit.",9,5.641503,0.002739,6e-06,"annual"
"Linaria glacialis Boiss.",2,5.639932,0.006751,2.7e-05,"annual"
"Linaria glauca Ehrenb. ex Boiss.",NA,NA,NA,NA,"annual"
"Linaria glauca subsp. olcadium Valdés & D.A.Webb",1,5.64633,NA,5.4e-05,"perennial"
