"species","n_temp","mean_temp","se_temp","within_sp_var_temp","life_form"
"Linaria golestanensis Hamdi & Assadi",NA,NA,NA,NA,"perennial"
"Linaria grandiflora Desf.",13,5.646781,0.001317,4e-06,"perennial"
"Linaria griffithsii Benth.",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria guilanensis Hamdi & Assadi",NA,NA,NA,NA,"perennial"
"Linaria haelava (Forssk.) Delile",2,5.654238,0.002977,2.7e-05,"annual"
"Linaria hellenica Turrill",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria hirta (L.) Moench",37,5.642934,0.000819,1e-06,"annual"
"Linaria huteri Lange",2,5.639599,0,2.7e-05,"annual"
"Linaria iconia Boiss. & Heldr.",2,5.647917,0.000881,2.7e-05,"perennial"
"Linaria imzica Gómiz",1,5.651612,NA,5.4e-05,"no_life_form_on_database"
"Linaria incarnata (Vent.) Spreng.",73,5.634621,0.000975,1e-06,"annual"
"Linaria incompleta Kuprian.",12,5.643584,0.001043,5e-06,"perennial"
"Linaria intricata Coincy",2,5.644562,0.001415,2.7e-05,"annual"
"Linaria iranica Hamdi & Assadi",NA,NA,NA,NA,"annual"
"Linaria japonica Miq.",51,5.628796,0.000727,1e-06,"perennial"
"Linaria joppensis Bornm.",1,5.653015,NA,5.4e-05,"annual"
"Linaria karajensis Hamdi & Assadi",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria kavirensis Hamdi & Assadi",NA,NA,NA,NA,"annual"
"Linaria khalkhalensis Hamdi & Assadi",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria khorasanensis Hamdi & Assadi",1,5.651612,NA,5.4e-05,"perennial"
"Linaria kurdica Boiss. & Hohen.",12,5.647148,0.001025,5e-06,"perennial"
"Linaria kurdica subsp. pycnophylla (Boiss. & Balansa) P.H.Davis",NA,NA,NA,NA,"perennial"
"Linaria latifolia Desf.",11,5.645899,0.001629,5e-06,"annual"
"Linaria laxiflora Coss. ex Willk. & Lange",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria leptoceras Kuprian.",NA,NA,NA,NA,"perennial"
"Linaria lilacina Lange",4,5.645083,0.002662,1.4e-05,"no_life_form_on_database"
"Linaria lineolata Boiss. & Kotschy",3,5.648681,0.000423,1.8e-05,"perennial"
"Linaria loeselii Schweigg.",6,5.626052,0.001944,9e-06,"perennial"
"Linaria macroura Link, 1822",NA,NA,NA,NA,"perennial"
"Linaria mamorensis Mazuecos, Vigalondo & L.Sáez",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria maroccana Hook.fil.",51,5.632641,0.001186,1e-06,"annual"
"Linaria mazandaranensis Hamdi & Assadi",1,5.645624,NA,5.4e-05,"perennial"
"Linaria meyeri Kuprian.",1,5.64173,NA,5.4e-05,"no_life_form_on_database"
"Linaria michauxii Chav.",8,5.655859,0.000755,7e-06,"perennial"
"Linaria micrantha (Cav.) Hoffmanns. & Link",60,5.637884,0.001439,1e-06,"annual"
"Linaria microsepala A.Kern.",1,5.631749,NA,5.4e-05,"perennial"
"Linaria multicaulis (L.) Mill.",5,5.642343,0.003547,1.1e-05,"no_life_form_on_database"
"Linaria multicaulis subsp. aurasiaca (Pomel) D.A.Sutton",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria multicaulis subsp. heterophylla (Desf.) D.A.Sutton",15,5.64386,0.002466,4e-06,"no_life_form_on_database"
"Linaria munbyana Boiss. & Reut.",12,5.635304,0.001945,5e-06,"annual"
"Linaria nevadensis (Boiss.) Boiss. & Reut.",2,5.647036,0.000353,2.7e-05,"no_life_form_on_database"
"Linaria nigricans Lange",2,5.634967,0.001785,2.7e-05,"annual"
"Linaria nivea Boiss. & Reut.",12,5.645206,0.000955,5e-06,"perennial"
"Linaria nurensis Boiss. & Hausskn.",3,5.654767,0.000535,1.8e-05,"perennial"
"Linaria oblongifolia (Boiss.) Boiss. & Reut.",12,5.642306,0.001632,5e-06,"annual"
"Linaria oblongifolia subsp. haenseleri (Boiss. & Reut.) Valdés",14,5.642373,0.001538,4e-06,"annual"
"Linaria odora (M.Bieb.) Fisch.",40,5.637887,0.000829,1e-06,"perennial"
"Linaria oligantha Lange",9,5.639309,0.00185,6e-06,"annual"
"Linaria onubensis Pau",1,5.640665,NA,5.4e-05,"annual"
"Linaria orbensis Carretero & Boira",1,5.626001,NA,5.4e-05,"annual"
"Linaria parviracemosa D.A.Sutton",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria pedunculata (L.) Chaz.",14,5.633156,0.001984,4e-06,"annual"
"Linaria pelisseriana (L.) Mill.",86,5.630025,0.001022,1e-06,"annual"
"Linaria peloponnesiaca Boiss. & Heldr.",12,5.641099,0.001367,5e-06,"perennial"
"Linaria peltieri Batt.",2,5.647561,0.002645,2.7e-05,"no_life_form_on_database"
"Linaria pinifolia (Poir.) Thell.",2,5.637285,0.001959,2.7e-05,"no_life_form_on_database"
"Linaria platycalyx Boiss.",2,5.642084,0,2.7e-05,"annual"
"Linaria polygalifolia Hoffmanns. & Link",6,5.626401,0.00285,9e-06,"no_life_form_on_database"
"Linaria polygalifolia subsp. aguillonensis (García Mart.) Castrov. & Lago",3,5.621058,0.00265,1.8e-05,"no_life_form_on_database"
"Linaria polygalifolia subsp. lamarckii (Rouy) D.A.Sutton",1,5.630674,NA,5.4e-05,"perennial"
"Linaria popovii Kuprian.",6,5.646857,0.000923,9e-06,"perennial"
"Linaria propinqua R.Br.",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria pseudoviscosa Murb.",2,5.645976,0.001059,2.7e-05,"no_life_form_on_database"
"Linaria purpurea (L.) Mill.",72,5.630477,0.000797,1e-06,"perennial"
"Linaria pyramidalis (Vent.) F.Dietr.",NA,NA,NA,NA,"perennial"
"Linaria pyramidalis subsp. kopetdaghensis (Kuprian.) D.A.Sutton",2,5.652489,0.000878,2.7e-05,"perennial"
"Linaria reflexa (L.) Desf.",20,5.636809,0.002288,3e-06,"annual"
"Linaria remotiflora Patzak",NA,NA,NA,NA,"perennial"
"Linaria repens (L.) Mill.",166,5.63305,0.000488,0,"perennial"
"Linaria ricardoi Cout.",1,5.641375,NA,5.4e-05,"annual"
"Linaria rubioides Vis. & Pancic",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria salzmannii Boiss.",4,5.644383,0.001478,1.4e-05,"annual"
"Linaria saturejoides Boiss.",5,5.641081,0.002306,1.1e-05,"annual"
"Linaria saxatilis DC.",NA,NA,NA,NA,"perennial"
"Linaria schelkownikowii Schischk.",1,5.644563,NA,5.4e-05,"no_life_form_on_database"
"Linaria schirvanica Fomin",2,5.635486,0.005889,2.7e-05,"no_life_form_on_database"
"Linaria sessilis Kuprian.",2,5.647035,0.001059,2.7e-05,"perennial"
"Linaria shahroudensis Hamdi & Assadi",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria simplex Desf.",44,5.640766,0.000979,1e-06,"annual"
"Linaria spartea (L.) Willd.",53,5.63959,0.001072,1e-06,"no_life_form_on_database"
"Linaria striatella Kuprian.",3,5.651962,0.00073,1.8e-05,"perennial"
"Linaria subandina Diels",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria supina (L.) Chaz.",91,5.635946,0.000702,1e-06,"annual"
"Linaria supina var. maritima (DC.) Duby",2,5.633716,0.001609,2.7e-05,"no_life_form_on_database"
"Linaria tenuis (Viv.) Spreng.",5,5.638956,0.006125,1.1e-05,"annual"
"Linaria texana Scheele",75,5.645327,0.001007,1e-06,"no_life_form_on_database"
"Linaria thibetica Franch.",25,5.638724,0.000832,2e-06,"perennial"
"Linaria thymifolia (Vahl) DC.",4,5.636296,0.002599,1.4e-05,"annual"
"Linaria tingitana Boiss. & Reut.",3,5.635205,0.000833,1.8e-05,"no_life_form_on_database"
"Linaria transiliensis Kuprian.",1,5.650206,NA,5.4e-05,"no_life_form_on_database"
"Linaria triornithophora (L.) Willd.",29,5.63702,0.00138,2e-06,"perennial"
"Linaria triphylla (L.) Mill.",42,5.626981,0.001668,1e-06,"annual"
"Linaria tristis (L.) Mill.",25,5.64181,0.001656,2e-06,"perennial"
"Linaria tristis subsp. lurida",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria tristis subsp. mesatlantica D.A.Sutton",4,5.650645,0.000664,1.4e-05,"no_life_form_on_database"
"Linaria tristis subsp. pectinata (Pau & Font Quer) Maire",7,5.64479,0.002944,8e-06,"no_life_form_on_database"
"Linaria tursica Valdés & Cabezudo",1,5.642793,NA,5.4e-05,"no_life_form_on_database"
"Linaria unaiensis Patzak",5,5.652874,0.00078,1.1e-05,"perennial"
"Linaria venosa Lindl.",15,5.651458,0.001368,4e-06,"perennial"
"Linaria ventricosa Coss. & Balansa",11,5.647226,0.002608,5e-06,"no_life_form_on_database"
"Linaria verticillata Boiss.",8,5.644324,0.002295,7e-06,"perennial"
"Linaria verticillata subsp. cuartanensis (Degen & Hervier) L.Sáez & M.B.Crespo",18,5.642641,0.002015,3e-06,"no_life_form_on_database"
"Linaria virgata (Poir.) Desf.",7,5.637061,0.003976,8e-06,"no_life_form_on_database"
"Linaria viscosa (L.) Dum.Cours.",28,5.641652,0.001046,2e-06,"annual"
"Linaria vulgaris Mill.",670,5.634161,0.000238,0,"perennial"
"Linaria warionis Pomel",1,5.653015,NA,5.4e-05,"no_life_form_on_database"
"Linaria weilleri Emb. & Maire",NA,NA,NA,NA,"no_life_form_on_database"
"Lophospermum breedlovei Elisens",2,5.636929,0.001247,2.7e-05,"no_life_form_on_database"
"Lophospermum erectum (Hemsl.) Rothm.",1,5.654767,NA,5.4e-05,"no_life_form_on_database"
"Lophospermum erubescens D.Don",18,5.640769,0.001304,3e-06,"perennial"
"Lophospermum purpusii (Brandegee) Rothm.",6,5.642966,0.001346,9e-06,"no_life_form_on_database"
"Lophospermum scandens Sweet",NA,NA,NA,NA,"no_life_form_on_database"
"Lophospermum turneri Elisens",1,5.638177,NA,5.4e-05,"no_life_form_on_database"
"Mabrya acerifolia (Pennell) Elisens",1,5.654417,NA,5.4e-05,"perennial"
"Mabrya coccinea (I.M.Johnst.) Elisens",2,5.652137,0.00158,2.7e-05,"no_life_form_on_database"
"Mabrya geniculata (Rob. & Fernald) Elisens",4,5.653711,0.00199,1.4e-05,"no_life_form_on_database"
"Mabrya rosei (Munz) Elisens",1,5.651963,NA,5.4e-05,"no_life_form_on_database"
"Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm.",61,5.652572,0.000453,1e-06,"perennial"
"Maurandya barclaiana Lindl.",25,5.646844,0.000807,2e-06,"perennial"
"Maurandya scandens (Cav.) Pers.",31,5.644148,0.001336,2e-06,"perennial"
"Misopates calycinum (Vent.) Rothm.",24,5.637675,0.001909,2e-06,"annual"
"Misopates chrysothales (Font Quer) Rothm.",3,5.637523,0.00778,1.8e-05,"no_life_form_on_database"
"Misopates microcarpum (Pomel) D.A.Sutton",14,5.639858,0.00178,4e-06,"annual"
"Misopates orontium (L.) Raf.",189,5.633089,0.000771,0,"annual"
"Misopates salvagense D.A.Sutton",NA,NA,NA,NA,"no_life_form_on_database"
"Mohavea breviflora Coville",17,5.654477,0.000481,3e-06,"annual"
"Mohavea confertiflora (Benth. ex A.DC.) A.Heller",22,5.653497,0.001089,2e-06,"annual"
"Nanorrhinum acerbianum (Boiss.) Betsche",NA,NA,NA,NA,"annual"
"Nanorrhinum asparagoides (Schweinf.) Ghebr.",4,5.645531,0.00162,1.4e-05,"perennial"
"Nanorrhinum cabulicum (Benth.) Podlech & Iranshahr",6,5.652428,0.001091,9e-06,"no_life_form_on_database"
"Nanorrhinum elegans (G.Forst.) Ghebr.",NA,NA,NA,NA,"perennial"
"Nanorrhinum heterophyllum (Schousb.) Ghebr.",16,5.638285,0.003496,3e-06,"perennial"
"Nanorrhinum heterophyllum subsp. canariensis (V.A.W.Sm.)",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum judaicum (Danin) Yousefi & Zarre",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum macilentum (Decne.) Betsche",1,5.658262,NA,5.4e-05,"perennial"
"Nanorrhinum ovatum (Benth.) Podlech & Iranshahr",6,5.650321,0.000963,9e-06,"no_life_form_on_database"
"Nanorrhinum petranum (Danin) Yousefi & Zarre",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum ramosissimum (Wall.) Betsche",3,5.644322,0.002368,1.8e-05,"perennial"
"Nanorrhinum sagittatum (Poir.) Yousefi & Zarre",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum scariosepalum (Täckh. & Boulos) Yousefi & Zarre",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum scoparium (Brouss. ex Spreng.) Yousefi & Zarre",2,5.634564,0.021254,2.7e-05,"no_life_form_on_database"
"Nanorrhinum urbani (Pit.) Yousefi & Zarre",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum woodii (D.A.Sutton) Ghebr.",NA,NA,NA,NA,"no_life_form_on_database"
"Neogaerrhinum filipes (A.Gray) Rothm.",14,5.655316,0.000492,4e-06,"annual"
"Neogaerrhinum strictum (Hook. & Arn.) Rothm.",2,5.650028,0.001935,2.7e-05,"annual"
"Pseudomisopates Guemes_indet_sp1",NA,NA,NA,NA,"no_life_form_on_database"
"Pseudorontium cyathiferum (Benth.) Rothm.",25,5.643368,0.002016,2e-06,"annual"
"Rhodochiton atrosanguineum (Zucc.) Rothm.",1,5.639244,NA,5.4e-05,"perennial"
"Sairocarpus breweri (A.Gray) D.A.Sutton",1,5.652665,NA,5.4e-05,"no_life_form_on_database"
"Sairocarpus cornutus (Benth.) D.A.Sutton",3,5.654183,0.00065,1.8e-05,"annual"
"Sairocarpus costatus (Wiggins) D.A.Sutton",1,5.657215,NA,5.4e-05,"no_life_form_on_database"
"Sairocarpus coulterianus (A.DC.) D.A.Sutton",3,5.652067,0.00356,1.8e-05,"annual"
"Sairocarpus elmeri (Rothm.) D.A.Sutton",NA,NA,NA,NA,"no_life_form_on_database"
"Sairocarpus kingii (S.Watson) D.A.Sutton",5,5.652524,0.000361,1.1e-05,"annual"
"Sairocarpus multiflorus (Pennell) D.A.Sutton",2,5.640123,0.004441,2.7e-05,"annual"
"Sairocarpus nuttallianus (A.DC.) D.A.Sutton",15,5.648016,0.002088,4e-06,"annual"
"Sairocarpus subcordatus (A.Gray) D.A.Sutton",NA,NA,NA,NA,"annual"
"Sairocarpus vexillocalyculatus (Kellogg) D.A.Sutton",1,5.654067,NA,5.4e-05,"annual"
"Sairocarpus vexillocalyculatus subsp. intermedius (D.M.Thomps.) Barringer",NA,NA,NA,NA,"annual"
"Sairocarpus virga (A.Gray) D.A.Sutton",NA,NA,NA,NA,"perennial"
"Sairocarpus watsonii (Vasey & Rose) D.A.Sutton",5,5.64284,0.003483,1.1e-05,"annual"
"Schweinfurthia imbricata Mill.",2,5.641657,0.01206,2.7e-05,"annual"
"Schweinfurthia latifolia Baker",3,5.636026,0.003567,1.8e-05,"no_life_form_on_database"
"Schweinfurthia papilionacea (L.) Boiss.",22,5.651293,0.002129,2e-06,"annual"
"Schweinfurthia pedicellata Benth. & Hook.f.",NA,NA,NA,NA,"annual"
"Schweinfurthia pterosperma (A.Rich.) A.Br.",4,5.646405,0.002922,1.4e-05,"annual"
"Schweinfurthia spinosa Mill.",4,5.641518,0.004759,1.4e-05,"no_life_form_on_database"
