species,life_form,,
Lupinus bangii Rusby,perennial,Drummond et al. 2012,manually_curated
Lupinus weberbaueri Ulbr.,perennial,,
Lupinus tarapacensis C.P.Sm.,perennial,,
Lupinus piurensis C.P.Sm.,annual,,
Lupinus tominensis Wedd.,perennial,,
Lupinus ellsworthianus C.P.Sm.,perennial,,
Lupinus ballianus C.P.Sm.,perennial,,
Lupinus praestabilis C.P.Sm.,perennial,,
Lupinus purosericeus C.P.Sm.,perennial,,
Lupinus prostratus J.Agardh,perennial,,
Lupinus nubigenus Kunth,perennial,,
Lupinus huaronensis J.F.Macbr.,perennial,,
Lupinus misticola Ulbr.,perennial,Drummond et al. 2012,manually_curated
Lupinus chrysanthus Ulbr.,perennial,Drummond et al. 2012,manually_curated
Lupinus huigrensis Rose ex C.P.Sm.,annual,Drummond et al. 2012,manually_curated
Lupinus sarmentosus Desr.,perennial,Drummond et al. 2012,manually_curated
Lupinus pulvinaris Ulbr.,perennial,Drummond et al. 2012,manually_curated
Lupinus ramosissimus Benth.,perennial,,
Lupinus solanagrorum C.P.Sm.,perennial,Drummond et al. 2012,manually_curated
Lupinus mutabilis Sweet,annual,,
Lupinus mollendoensis Ulbr.,annual,,
Lupinus subacaulis Griseb.,perennial,Drummond et al. 2012,manually_curated
Lupinus microphyllus Desr.,perennial,,
Lupinus mantaroensis C.P.Sm.,annual,,
Lupinus lindleyanus J.Agardh,annual,,
Lupinus chachas Ochoa ex C.P.Sm.,perennial,Drummond et al. 2012,manually_curated
Lupinus arvensis Benth.,perennial,,
Lupinus tomentosus DC.,perennial,Drummond et al. 2012,manually_curated
Lupinus semperflorens Hartw. ex Benth.,perennial,,
Lupinus pubescens Benth.,perennial,,
Lupinus bogotensis Benth.,perennial,,
Lupinus montanus Kunth,perennial,,
Lupinus L._indet_sp1,no_life_form_on_database,,
Lupinus huachucanus M.E.Jones,perennial,,
Lupinus elegans Kunth,perennial,,
Lupinus aschenbornii S.Schauer,perennial,,
Lupinus mexicanus Cerv. ex Lag.,annual,Drummond et al. 2012,manually_curated
Lupinus nootkatensis Donn ex Sims,perennial,,
Lupinus arcticus S.Watson,perennial,,
Lupinus perennis L.,perennial,,
Lupinus leucophyllus Douglas ex Lindl.,perennial,,
Lupinus sulphureus Douglas,perennial,,
Lupinus andersonii S.Watson,perennial,,
Lupinus nevadensis A.Heller,perennial,,
Lupinus polyphyllus Lindl.,perennial,,
Lupinus argenteus Pursh,perennial,,
Lupinus neomexicanus Greene,perennial,,
Lupinus L._indet_sp2,no_life_form_on_database,,
Lupinus sericeus Pursh,perennial,,
Lupinus littoralis Douglas,perennial,Drummond et al. 2012,manually_curated
Lupinus rivularis Douglas ex Lindl.,perennial,Drummond et al. 2012,manually_curated
Lupinus duranii Eastw.,perennial,,
Lupinus arboreus Sims,perennial,,
Lupinus chamissonis Eschsch.,perennial,Drummond et al. 2012,manually_curated
Lupinus albicaulis Douglas,annual,,
Lupinus lepidus Douglas ex Lindl.,perennial,,
Lupinus tegeticulatus Eastw.,perennial,,
Lupinus cervinus Kellogg,perennial,Drummond et al. 2012,manually_curated
Lupinus grayi S.Watson,perennial,,
Lupinus breweri A.Gray,perennial,,
Lupinus formosus Greene,perennial,,
Lupinus albifrons Benth.,perennial,,
Lupinus latifolius Lindl. ex J.Agardh,perennial,Drummond et al. 2012,manually_curated
Lupinus excubitus M.E.Jones,perennial,Drummond et al. 2012,manually_curated
Lupinus bicolor Lindl.,annual,,
Lupinus nanus Douglas ex Benth.,annual,Drummond et al. 2012,manually_curated
Lupinus pachylobus Greene,annual,,
Lupinus guadalupensis Greene,annual,Drummond et al. 2012,manually_curated
Lupinus stiversii Kellogg,annual,Drummond et al. 2012,manually_curated
Lupinus succulentus Douglas ex K.Koch,annual,Drummond et al. 2012,manually_curated
Lupinus arizonicus (S.Watson) S.Watson S.Watson (S.Watson),annual,Drummond et al. 2012,manually_curated
Lupinus sparsiflorus Benth.,annual,,
Lupinus benthamii A.Heller,annual,,
Lupinus truncatus Nutt. ex Hook. & Arn.,annual,,
Lupinus concinnus J.Agardh,annual,,
Lupinus citrinus Kellogg,annual,,
Lupinus hirsutissimus Benth.,annual,,
Lupinus luteolus Kellogg,annual,Drummond et al. 2012,manually_curated
Lupinus microcarpus Sims,annual,,
Lupinus shockleyi S.Watson,annual,,
Lupinus odoratus A.Heller,annual,,
Lupinus uncialis S.Watson,annual,Drummond et al. 2012,manually_curated
Lupinus flavoculatus A.Heller,annual,,
Lupinus brevicaulis S.Watson,annual,,
Lupinus velutinus Benth.,perennial,,
Lupinus subsessilis Benth.,perennial,,
Lupinus crotalarioides Mart. ex Benth.,perennial,Drummond et al. 2012,manually_curated
Lupinus parvifolius Gardner,perennial,,
Lupinus guaraniticus (Hassl.) C.P.Sm. C.P.Sm. (Hassl.),perennial,Drummond et al. 2012,manually_curated
Lupinus paraguariensis Chodat & Hassl.,perennial,Drummond et al. 2012,manually_curated
Lupinus albescens Hook. & Arn.,perennial,Drummond et al. 2012,manually_curated
Lupinus aureonitens Gillies ex Hook. & Arn.,annual,,
Lupinus multiflorus Desr.,perennial,,
Lupinus lanatus Benth.,perennial,Drummond et al. 2012,manually_curated
Lupinus magnistipulatus Planchuelo & D.B.Dunn,annual,,
Lupinus reitzii Burkart ex M.Pinheiro & Miotto,annual,Drummond et al. 2012,manually_curated
Lupinus rubriflorus Planchuelo,annual,Drummond et al. 2012,manually_curated
Lupinus paranensis C.P.Sm.,perennial,Drummond et al. 2012,manually_curated
Lupinus uleanus C.P.Sm.,annual,Drummond et al. 2012,manually_curated
Lupinus gibertianus C.P.Sm.,annual,Drummond et al. 2012,manually_curated
Lupinus bandelierae C.P.Sm.,perennial,,
Lupinus bracteolaris Desr.,annual,,
Lupinus linearis Desr.,annual,Drummond et al. 2012,manually_curated
Lupinus texensis Hook.,annual,,
Lupinus havardii S.Watson,annual,,
Lupinus digitatus Forssk.,annual,Drummond et al. 2012,manually_curated
Lupinus palaestinus Boiss.,annual,Drummond et al. 2012,manually_curated
Lupinus anatolicus W.Swiecicki & W.K.Swiecicki,annual,,
Lupinus pilosus L.,annual,Drummond et al. 2012,manually_curated
Lupinus cosentinii Guss.,annual,Drummond et al. 2012,manually_curated
Lupinus princei Harms,annual,Drummond et al. 2012,manually_curated
Lupinus atlanticus Gladst.,annual,,
Lupinus albus L.,annual,Drummond et al. 2012,manually_curated
Lupinus luteus L.,annual,Drummond et al. 2012,manually_curated
Lupinus hispanicus Boiss. & Reut.,annual,,
Lupinus angustifolius L.,annual,Drummond et al. 2012,manually_curated
Lupinus micranthus Guss.,annual,,
Lupinus cumulicola Small,perennial,,
Lupinus villosus Willd.,annual,,
Lupinus diffusus Nutt.,perennial,Drummond et al. 2012,manually_curated